book_title,book_author,book_translator,book_pub_date,book_isbn
이것이 SQL Server다,우재남 ,,2016-06-28,9788968482922
이것이 MySQL이다,우재남 ,,2016-06-10,9788968482793
맛있는 디자인 애프터 이펙트 CC 2018,이수정 ,,2018-06-30,9791162240762
폴리글랏 프로그래밍 : 새로운 자바 언어를 기다리는 히치하이커를 위한 안내서,임백준 ,,2014-03-18,9788968480867
러닝 자바스크립트,이선 브라운 ,한선용 ,2017-07-01,9788968483387
Head First Statistics: 실생활 예제로 배우는 정말 쉬운 통계 이야기,돈 그리피스 ,임백준 ,2012-04-26,9788979147278
"모던 웹 디자인을 위한 HTML5+CSS3 입문, 개정판",윤인성 ,,2015-01-19,9788968481611
Head First PHP & MySQL: 효과적이고 생동감 넘치는 웹 애플리케이션 만들기,"린 베일리 , 마이클 모리슨 공저 ",홍승표 ,2010-05-07,9788979147391
웹 엔지니어가 알아야 할 인프라의 기본,바바 토시아키 ,김병국 ,2015-06-28,9788968482014
누워서 읽는 퍼즐북 : 뉴욕의 프로그래머 임백준의 퍼즐이야기,임백준 ,,2010-01-15,9788979147193
클라우드 시스템을 관리하는 기술,"토머스 리몬첼리 , 스트래터 체일럽 , 크리스티나 호건 ",류광 ,2016-02-25,9788968482618
읽기 좋은 코드가 좋은 코드다: 더 나은 코드를 작성하는 간단하고 실전적인 테크닉,"더스틴 보즈웰 , 트레버 파우커 ",임백준 ,2012-04-26,9788979149142
로그를 사랑해 : 데이터 처리/통합/시스템 구축을 위한 로그,제이 크렙스 ,이일웅 ,2015-01-30,9788968487309
Head First SQL : 효율적인 DB 관리를 위한 SQL 학습법,린 베일리 ,박종걸 ,2008-05-28,9788979145601
해커와 화가,폴 그레이엄 ,임백준 ,2014-01-24,9788968480713
코드로 인프라 관리하기,키프 모리스 ,강재준 ,2017-03-01,9788968483431
자바 개발자를 위한 함수형 프로그래밍,딘 왐플러 ,임백준 ,2012-09-19,9788979149678
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,,2013-08-21,9788998756543
C++로 온라인 게임 서버 구축하기 : CGSF를 활용한 게임 서버 제작,박주항 ,,2014-07-10,9788968486708
"MySQL Troubleshooting : 쿼리 문제, 원인을 알면 해결은 쉽다",스베타 스머노바(Sveta Smirnova) ,강권학 ,2013-02-07,9788979149999
"뇌를 자극하는 SQL Server 2012 (1권, 기본편)",우재남 ,,2013-02-13,9788979149920
"프로그래밍 면접, 이렇게 준비한다(3판)","존 몽건 , 에릭 기게리 , 노아 수요야넨 킨들러 ",서환수 ,2014-02-28,9788968480843
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 ",,2013-07-01,9788998756246
"뇌를 자극하는 SQL Server 2012 (2권, 관리/응용편)",우재남 ,,2014-04-28,9788968480782
모던 웹을 위한 JavaScript + jQuery 입문(3판),윤인성 ,,2017-05-01,9788968483554
Effective Unit Testing : 클린 코드와 좋은 설계를 이끄는 단위 테스트,라쎄 코스켈라 ,이복연 ,2013-11-11,9788968480621
해커스 : 세상을 바꾼 컴퓨터 천재들 (무삭제판),스티븐 레비 ,"박재호 , 이해영 ",2013-08-19,9788968480454
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,"손정도 , 김정현 ",2015-01-28,9788968481673
The Art of Computer Programming 3: 정렬과 검색(개정 2판),도널드 커누스(Donald E. Knuth)) ,류광 ,2008-01-01,9788979145496
"도커 오케스트레이션 : 애플리케이션 빌드, 테스트, 배포의 통합 관리",슈리크리슈나 홀라 ,이기곤 ,2015-12-10,9788968487934
처음 시작하는 AWS 람다,매튜 풀러(Matthew Fuller) ,"문경식, 신원석, 오성근, 조영준 ",2016-09-01,9788968488290
읽기 좋은 자바스크립트 코딩 기법: 유지보수가 쉬운 코드로 팀의 생산성을 높이자,니콜라스 자카스 ,김광호 ,2013-01-26,9788979149883
파이썬을 이용한 AWS 가이드 : 파이썬과 Boto로 클라우드 관리하기,미치 가나트 ,강권학 ,2013-01-31,9788979143683
Docker로 PaaS 구성하기,오스카 하네 ,이기곤 ,2016-05-26,9788968488214
"IT CookBook, 데이터베이스 개론",김연희 ,,2013-07-03,9788998756253
리팩토링: 코드 품질을 개선하는 객체지향 사고법,마틴 파울러 ,김지원 ,2012-11-09,9788979149715
"자바 프로그래밍 면접, 이렇게 준비한다",노엘 마크엄 ,정원천 ,2015-01-23,9788968481529
모던 웹을 위한 Node.js 프로그래밍 3판,윤인성 ,,2016-07-01,9788968482946
The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부,도널드 커누스(Donald E. Knuth) ,류광 ,2013-08-19,9788968480287
Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판),"케이시 시에라 , 버트 베이츠 ",서환수 ,2005-11-16,8979143710
The Art of Computer Programming 1: 기초 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2006-09-28,9788979144307
러닝 HTTP/2,"스티븐 루딘 , 하비에르 가르사 ",강재준 ,2018-01-22,9791162240434
테스트 주도 개발 : 고품질 쾌속개발을 위한 TDD 실천법과 도구,채수원 ,,2010-06-08,9788979147261
FFmpeg 라이브러리 : 코덱과 영상 변환을 중심으로,이기곤 ,,2015-08-13,9788968487729
The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2007-09-14,9788979144840
"Blog2Book, 자바 개발자도 쉽고 즐겁게 배우는 테스팅 이야기",이상민 ,,2009-12-09,9788979147124
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",서환수 ,2004-07-14,8979142889
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ","문병로 , 심규석 , 이충세 ",2014-07-10,9791156641131
TopCoder 탑코더 알고리즘 트레이닝,타카하시 나오히로 ,윤인성 ,2013-10-28,9788968480553
하루 만에 배우는 도커,나카이 에츠지 ,김성재 ,2016-01-22,9788968487965
한 권으로 끝내는 정규표현식,"잰 고이바에르츠 , 스티븐 리바이선 ",김지원 ,2010-09-17,9788979147742
뇌를 자극하는 PHP 프로그래밍,조명진 ,,2009-07-21,9788979146585
"모던 웹을 위한 JavaScript + jQuery 입문(개정판) : 자바스크립트에서 제이쿼리, 제이쿼리 모바일까지 한 권으로 끝낸다",윤인성 ,,2013-09-03,9788968480423
이것이 자바다,신용권 ,,2015-01-06,9788968481475
"한 권으로 끝내는 Node & Express(Node 4, Express 4 테스트 완료)",이선 브라운 ,한선용 ,2015-10-24,9788968482229
한 번에 배우는 HTML5+자바스크립트,지닌 마이어 ,김지원 ,2011-05-22,9788979148268
뇌를 자극하는 Java 프로그래밍,김윤명 ,,2006-09-04,8979143974
English for Developers: IT 트렌드로 배우는 개발자 영어 독해,"박재호 , 이해영 ",,2015-08-27,9788968482199
클라우드 네이티브,"보리스 숄 , 트렌트 스완슨 , 피터 야우쇼베츠 ",정원천 ,2020-06-13,9791162243183
